Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-11-10 20:00:00,4.5,57.9626395,33.7045329,20.6504129,20.5,74.8945293,103.5578375,0.0
2006-11-10 22:00:00,4.5,60.5343834,33.8101316,20.8648421,20.7,76.1496044,103.4658622,0.0
2006-11-11 00:00:00,4.5,61.9835374,34.1720285,20.9557294,20.7,78.8998713,103.5011918,0.0
2006-11-11 02:00:00,4.5,61.2670393,34.1130712,21.1041004,20.8,78.6401706,102.9915105,0.0
2006-11-11 04:00:00,4.7,63.6440041,34.1045479,20.9572624,20.8,78.8365628,103.381471,0.0
2006-11-11 06:00:00,4.7,59.4601925,34.0144407,21.1826343,21.0,78.7276019,103.4325998,0.0
2006-11-11 08:00:00,4.8,63.6856425,34.6007551,21.2997883,20.8,78.3472955,103.4911322,0.0
2006-11-11 10:00:00,5.1,56.5225697,34.824106,21.1286128,20.6,76.5347162,103.6217463,0.0
2006-11-11 12:00:00,5.2,60.6050938,34.556235,20.7702221,20.8,75.8683558,103.420138,0.0
2006-11-11 14:00:00,5.4,51.278959,33.6919986,18.2918135,18.6,72.469288,103.3625215,0.0
2006-11-11 16:00:00,5.2,60.3868661,32.9893661,20.4583644,20.6,74.285108,103.2207581,0.0
2006-11-11 18:00:00,5.6,50.8025584,32.7707964,20.5178749,20.4,74.3154161,103.2421994,0.0
2006-11-11 20:00:00,6.2,56.6939832,32.1437171,20.6670449,20.6,74.099147,103.4118394,0.0
2006-11-11 22:00:00,6.6,63.1388763,32.6626491,20.7743119,20.5,73.6672052,104.0840439,0.0
2006-11-12 00:00:00,6.5,50.3907099,34.1561914,20.715401,20.4,70.6900337,103.0972354,0.0
2006-11-12 02:00:00,5.5,49.2646422,33.7524003,20.9038498,20.6,70.790038,103.1572619,0.0
2006-11-12 04:00:00,4.6,49.1189158,34.4233685,20.9182774,20.6,71.0702892,103.409979,0.0
2006-11-12 06:00:00,3.8,50.2873391,33.6003061,20.9578046,20.6,70.402599,103.4594329,0.0
2006-11-12 08:00:00,5.0,50.4426679,33.2811061,20.8975219,20.6,70.0496054,103.0453098,0.0
2006-11-12 10:00:00,4.8,61.6740147,32.2652105,20.836023,20.6,70.5046651,103.4555088,0.0
2006-11-12 12:00:00,4.8,56.6503171,34.3009706,20.602559,20.5,72.9266367,103.6436287,0.0
2006-11-12 14:00:00,4.8,59.377525,41.3089062,20.8919597,20.7,76.0120906,103.0174709,0.0
2006-11-12 16:00:00,4.3,64.5001431,41.436279,20.9232427,20.6,74.4929522,103.5599453,0.0
2006-11-12 18:00:00,3.1,62.4492603,42.6323378,20.7525933,20.6,76.0145134,103.5407631,0.0
2006-11-12 20:00:00,2.4,61.1718132,42.6566496,20.6211851,20.4,75.666242,103.5861998,0.0
2006-11-12 22:00:00,2.2,58.5342231,41.5989166,20.7964181,20.5,75.3344113,103.5435798,0.0
2006-11-13 00:00:00,2.1,64.4249194,36.9218669,21.0543759,20.5,75.0511889,103.5396549,0.0
2006-11-13 02:00:00,2.2,59.166308,36.9466747,21.0638439,20.8,75.5055696,103.3858579,0.0
2006-11-13 04:00:00,2.3,60.8936247,37.7015477,20.9316647,20.6,77.593018,103.3657214,0.0
2006-11-13 06:00:00,2.3,59.9877015,40.1733138,21.0701031,20.3,77.3500326,103.442161,0.0
2006-11-13 08:00:00,2.4,66.2074153,41.0711935,20.9725142,20.4,76.8381218,103.366402,0.0
2006-11-13 10:00:00,2.5,57.1881465,40.4846183,20.6258546,20.5,76.2226466,103.5808685,0.0
2006-11-13 12:00:00,2.6,56.2916057,40.906592,20.6360507,20.5,76.2882148,103.4238419,0.0
2006-11-13 14:00:00,2.6,57.1068238,41.0646678,20.8628595,20.6,78.0046243,103.5345227,0.0
2006-11-13 16:00:00,2.6,62.9089591,41.1143579,20.9885001,20.8,76.7956211,103.2914309,0.0
2006-11-13 18:00:00,2.5,57.2438671,40.036647,20.9820675,20.7,75.5479119,103.2619839,0.0
2006-11-13 20:00:00,2.6,55.9310773,40.504148,21.2445572,20.6,75.8263939,103.2176162,0.0
2006-11-13 22:00:00,2.9,56.1593135,41.2171762,21.1991705,20.6,75.6249741,103.5449728,0.0
2006-11-14 00:00:00,3.0,61.0075303,40.596154,20.7389828,20.4,74.5133783,103.4133068,0.0
2006-11-14 02:00:00,2.9,65.1439467,40.6971483,20.9051412,20.5,77.0068869,103.2647141,0.0
2006-11-14 04:00:00,3.0,59.9039336,40.9827581,20.9820773,20.4,77.5986189,103.2088871,0.0
2006-11-14 06:00:00,2.9,59.4466801,40.3762768,21.030708,20.5,78.2475474,103.259959,0.0
2006-11-14 08:00:00,2.8,58.1826029,40.0016884,20.768398,20.5,78.2420845,103.1233994,0.0
2006-11-14 10:00:00,2.8,58.7611467,39.9692047,20.7311622,20.4,78.2022423,103.5051168,0.0
2006-11-14 12:00:00,3.2,61.63376,40.175665,20.7155781,20.6,78.3535052,103.0023657,0.0
2006-11-14 14:00:00,3.3,59.9325045,39.8660194,20.7393431,20.9,78.6081857,103.3748196,0.0
2006-11-14 16:00:00,3.2,60.0469411,40.1271116,20.8618784,20.5,78.3697295,103.2392619,0.0
2006-11-14 18:00:00,3.3,59.5332152,40.1797637,20.8573758,20.5,78.4062603,103.1437876,0.0
2006-11-14 20:00:00,3.3,58.5626448,39.6948598,20.8836034,20.5,78.3609688,103.3626365,0.0
2006-11-14 22:00:00,3.3,60.8776842,38.8207573,20.7880306,20.3,78.1718848,104.016975,0.0
2006-11-15 00:00:00,3.3,58.7916446,34.8024413,21.0889788,20.1,78.1096107,103.1814565,0.0
2006-11-15 02:00:00,3.3,63.4255984,34.7990921,20.689136,20.6,78.2720356,103.0844337,0.0
